time,open,high,low,close,volume
1780227600000,73950.05000000,73959.30000000,73935.16000000,73959.29000000,30.58955000
1780227900000,73959.30000000,73959.35000000,73922.00000000,73925.33000000,7.32915000
1780228200000,73925.34000000,73940.18000000,73905.62000000,73940.17000000,30.65645000
1780228500000,73940.17000000,73972.00000000,73907.55000000,73937.79000000,30.68690000
1780228800000,73937.63000000,73980.43000000,73874.00000000,73874.00000000,17.19056000
1780229100000,73874.00000000,73914.00000000,73874.00000000,73900.02000000,14.55196000
1780229400000,73900.02000000,73918.00000000,73895.55000000,73917.99000000,13.76398000
1780229700000,73918.00000000,73995.88000000,73917.99000000,73992.37000000,23.35349000
1780230000000,73992.36000000,73992.37000000,73928.86000000,73933.36000000,13.05962000
1780230300000,73933.35000000,73941.02000000,73933.20000000,73933.21000000,8.53173000
1780230600000,73933.21000000,73933.21000000,73906.00000000,73906.01000000,18.00135000
1780230900000,73906.01000000,73941.01000000,73906.01000000,73941.00000000,56.10235000
1780231200000,73941.01000000,73974.89000000,73931.10000000,73974.89000000,11.80117000
1780231500000,73974.88000000,73979.23000000,73950.00000000,73956.48000000,8.57892000
1780231800000,73956.48000000,73968.05000000,73893.46000000,73893.47000000,10.13993000
1780232100000,73893.46000000,73920.00000000,73880.00000000,73920.00000000,27.15146000
1780232400000,73920.00000000,73920.00000000,73888.80000000,73888.80000000,13.71425000
1780232700000,73888.81000000,73919.99000000,73880.00000000,73919.99000000,9.28904000
1780233000000,73919.99000000,73957.04000000,73919.98000000,73948.21000000,13.63541000
1780233300000,73948.21000000,73984.00000000,73936.00000000,73984.00000000,8.74344000
1780233600000,73984.00000000,74023.99000000,73982.01000000,73982.02000000,14.27982000
1780233900000,73982.02000000,74000.01000000,73961.14000000,73961.16000000,8.64542000
1780234200000,73961.17000000,73971.68000000,73953.28000000,73953.28000000,13.32644000
1780234500000,73953.29000000,73968.43000000,73890.53000000,73904.28000000,7.04410000
1780234800000,73904.29000000,73904.29000000,73887.63000000,73896.64000000,9.64261000
1780235100000,73896.64000000,73900.33000000,73866.00000000,73866.00000000,58.23559000
1780235400000,73866.00000000,73868.61000000,73807.43000000,73868.61000000,10.59036000
1780235700000,73868.60000000,73872.80000000,73861.26000000,73872.80000000,11.30086000
1780236000000,73872.80000000,73872.80000000,73749.99000000,73805.95000000,89.28140000
1780236300000,73805.96000000,73868.12000000,73789.83000000,73860.01000000,25.34329000
1780236600000,73860.00000000,73865.34000000,73670.08000000,73719.41000000,76.61294000
1780236900000,73719.40000000,73783.17000000,73483.05000000,73583.99000000,169.45746000
1780237200000,73583.99000000,73650.17000000,73546.00000000,73581.75000000,67.99074000
1780237500000,73581.76000000,73608.12000000,73552.65000000,73582.78000000,59.58448000
1780237800000,73582.79000000,73685.98000000,73582.78000000,73677.98000000,34.19169000
1780238100000,73677.99000000,73740.23000000,73650.00000000,73680.98000000,46.36161000
1780238400000,73680.98000000,73680.98000000,73598.00000000,73615.95000000,55.34115000
1780238700000,73615.95000000,73699.99000000,73615.95000000,73655.98000000,20.66215000
1780239000000,73655.99000000,73692.00000000,73655.99000000,73691.99000000,6.57571000
1780239300000,73691.99000000,73692.00000000,73588.81000000,73602.17000000,30.32229000
1780239600000,73602.18000000,73626.16000000,73588.80000000,73614.89000000,25.05551000
1780239900000,73614.88000000,73670.77000000,73609.45000000,73652.78000000,14.98360000
1780240200000,73652.78000000,73682.00000000,73645.76000000,73677.18000000,8.74166000
1780240500000,73677.18000000,73687.89000000,73658.45000000,73687.22000000,11.03484000
1780240800000,73687.22000000,73742.00000000,73687.22000000,73742.00000000,21.26078000
1780241100000,73742.00000000,73775.79000000,73733.10000000,73748.67000000,33.29052000
1780241400000,73748.66000000,73752.24000000,73726.00000000,73752.23000000,14.19173000
1780241700000,73752.23000000,73754.91000000,73716.03000000,73718.81000000,10.54574000
1780242000000,73718.81000000,73718.82000000,73616.00000000,73638.46000000,36.60823000
1780242300000,73638.47000000,73681.99000000,73637.44000000,73647.01000000,33.82519000
1780242600000,73647.00000000,73656.00000000,73625.65000000,73656.00000000,31.74168000
1780242900000,73656.00000000,73657.26000000,73629.36000000,73655.21000000,25.65351000
1780243200000,73655.20000000,73696.55000000,73634.00000000,73688.99000000,15.58536000
1780243500000,73689.00000000,73730.00000000,73688.99000000,73705.53000000,24.07782000
1780243800000,73705.54000000,73705.54000000,73603.37000000,73617.58000000,42.46457000
1780244100000,73617.58000000,73629.48000000,73600.02000000,73602.92000000,14.72958000
1780244400000,73602.92000000,73626.62000000,73541.07000000,73569.99000000,21.17111000
1780244700000,73569.99000000,73614.58000000,73518.67000000,73610.36000000,23.91796000
1780245000000,73610.35000000,73610.36000000,73411.00000000,73438.65000000,77.10246000
1780245300000,73438.66000000,73536.62000000,73400.00000000,73528.00000000,47.56083000
1780245600000,73528.01000000,73528.01000000,73484.19000000,73493.97000000,16.40201000
1780245900000,73493.97000000,73493.97000000,73442.88000000,73449.00000000,15.17123000
1780246200000,73449.00000000,73528.00000000,73443.81000000,73528.00000000,14.74023000
1780246500000,73528.00000000,73544.03000000,73521.27000000,73526.14000000,6.83109000
1780246800000,73526.15000000,73556.46000000,73496.25000000,73496.26000000,16.39839000
1780247100000,73496.26000000,73532.00000000,73495.10000000,73516.30000000,27.15584000
1780247400000,73516.19000000,73518.00000000,73466.67000000,73518.00000000,11.63756000
1780247700000,73517.99000000,73559.63000000,73517.99000000,73539.36000000,10.84542000
1780248000000,73539.36000000,73571.22000000,73539.36000000,73562.60000000,7.99248000
1780248300000,73562.61000000,73598.71000000,73562.60000000,73598.32000000,7.00742000
1780248600000,73598.32000000,73680.00000000,73598.32000000,73660.25000000,18.28439000
1780248900000,73660.25000000,73717.94000000,73660.25000000,73717.94000000,21.70745000
1780249200000,73717.93000000,73724.96000000,73687.54000000,73724.96000000,17.74085000
1780249500000,73724.95000000,73734.00000000,73695.92000000,73695.93000000,3.95067000
1780249800000,73695.93000000,73699.67000000,73685.71000000,73699.66000000,5.78774000
1780250100000,73699.66000000,73709.44000000,73688.55000000,73709.44000000,46.96153000
1780250400000,73709.43000000,73713.34000000,73616.00000000,73638.85000000,11.91907000
1780250700000,73638.84000000,73670.00000000,73632.87000000,73632.87000000,23.96027000
1780251000000,73632.88000000,73692.43000000,73632.87000000,73654.00000000,14.17494000
1780251300000,73654.00000000,73658.88000000,73611.74000000,73658.88000000,34.81005000
1780251600000,73658.88000000,73658.88000000,73628.00000000,73640.00000000,9.24494000
1780251900000,73640.00000000,73680.00000000,73630.21000000,73630.21000000,23.33685000
1780252200000,73630.21000000,73708.80000000,73630.21000000,73660.01000000,23.77273000
1780252500000,73660.00000000,73667.21000000,73660.00000000,73667.21000000,5.51710000
